date,session,type,duration_min,distance_km,vert_m,surface,structure,zone,phase,block,notes
2026-11-30,Easy aerobic + strength S1,Easy,35,6,,road,,Z2,1,Engine 1 — settle in,Genuinely easy — this is where the engine grows.
2026-12-01,Cruise threshold 4×8 min,Threshold,73,13.4,,road,WU 15min Z2 | 4x8min Z3 r90s | CD 10min Z2,Z3,1,Engine 1 — settle in,"Controlled sub-threshold — 'comfortably hard', finish knowing you had 2 more reps. The Norwegian engine-builder."
2026-12-02,Easy aerobic spin,Bike,50,,,bike,,Z1,1,Engine 1 — settle in,Engine volume the legs don't pay for.
2026-12-03,Easy + 8×10s hill sprints + strength S2,Easy,35,6,,road,,Z2,1,Engine 1 — settle in,"Sprints: 8-10s MAX effort uphill, walk-back full recovery. Power + tendon stiffness, zero metabolic cost."
2026-12-04,Rest day,Rest,,,,,,,1,Engine 1 — settle in,
2026-12-05,Long rolling run,Long,115,18.8,385,trail,,Z2,1,Engine 1 — settle in,Steady and patient; finish feeling you had more.
2026-12-06,Easy fell wander,Easy,50,6.7,280,fell,,Z2,1,Engine 1 — settle in,
2026-12-07,Easy aerobic + strength S1,Easy,40,6.9,,road,,Z2,1,Engine 2 — building,Genuinely easy — this is where the engine grows.
2026-12-08,Cruise threshold 3×10 min,Threshold,70,12.8,,road,WU 15min Z2 | 3x10min Z3 r90s | CD 10min Z2,Z3,1,Engine 2 — building,"Controlled sub-threshold — 'comfortably hard', finish knowing you had 2 more reps. The Norwegian engine-builder."
2026-12-09,Easy aerobic spin,Bike,50,,,bike,,Z1,1,Engine 2 — building,Engine volume the legs don't pay for.
2026-12-10,Easy + 8×10s hill sprints + strength S2,Easy,35,6,,road,,Z2,1,Engine 2 — building,"Sprints: 8-10s MAX effort uphill, walk-back full recovery. Power + tendon stiffness, zero metabolic cost."
2026-12-11,Rest day,Rest,,,,,,,1,Engine 2 — building,
2026-12-12,Long rolling run,Long,120,19.6,440,trail,,Z2,1,Engine 2 — building,Steady and patient; finish feeling you had more.
2026-12-13,Easy fell wander,Easy,55,7.3,320,fell,,Z2,1,Engine 2 — building,
2026-12-14,Easy aerobic + strength S1,Easy,45,7.7,,road,,Z2,1,Engine 3 — longer reps,Genuinely easy — this is where the engine grows.
2026-12-15,Cruise threshold 2×15 min,Threshold,68,12.5,,road,WU 15min Z2 | 2x15min Z3 r90s | CD 10min Z2,Z3,1,Engine 3 — longer reps,"Controlled sub-threshold — 'comfortably hard', finish knowing you had 2 more reps. The Norwegian engine-builder."
2026-12-16,Easy aerobic spin,Bike,50,,,bike,,Z1,1,Engine 3 — longer reps,Engine volume the legs don't pay for.
