date,session,type,duration_min,distance_km,vert_m,surface,structure,zone,phase,block,notes
2027-05-17,Easy aerobic + strength S1,Easy,60,10.3,,road,,Z2,1,Sharpen 1 — race rhythm,Genuinely easy — this is where the engine grows.
2027-05-18,Descent skills + strides,Descent,50,6.7,285,fell,,Z2,1,Sharpen 1 — race rhythm,"EASY effort, fast feet: pick lines, relax the brakes, flow. A skill day, not a hammer day — Saturday's sim is the week's hard work."
2027-05-19,Easy aerobic spin,Bike,50,,,bike,,Z1,1,Sharpen 1 — race rhythm,Engine volume the legs don't pay for.
2027-05-20,Easy,Easy,55,9.4,,road,,Z2,1,Sharpen 1 — race rhythm,
2027-05-21,Rest day,Rest,,,,,,,1,Sharpen 1 — race rhythm,
2027-05-22,Up-down sim 4×(8 min climb + descent),Simulation,82,9.6,1045,fell,WU 15min Z2 | 4x8min Z4 r5m | CD 10min Z2,Z4,1,Sharpen 1 — race rhythm,"Race rhythm: climb at effort, descend with intent. Practise eating/drinking."
2027-05-23,Easy fell wander,Easy,85,11.3,570,fell,,Z2,1,Sharpen 1 — race rhythm,
2027-05-24,Easy aerobic + strength S1,Easy,40,6.9,,road,,Z2,1,Sharpen 2 — climb economy,Genuinely easy — this is where the engine grows.
2027-05-25,Uphill threshold 5×6 min,Threshold,80,10.7,315,fell,WU 15min Z2 | 5x6min Z4 r3m | CD 10min Z2,Z4,1,Sharpen 2 — climb economy,On a steady climb — jog/walk down between. Climbing economy at race effort.
2027-05-26,Easy aerobic spin,Bike,50,,,bike,,Z1,1,Sharpen 2 — climb economy,Engine volume the legs don't pay for.
2027-05-27,Easy,Easy,35,6,,road,,Z2,1,Sharpen 2 — climb economy,
2027-05-28,Rest day,Rest,,,,,,,1,Sharpen 2 — climb economy,
2027-05-29,Long mountain run,Long,130,16.3,1155,fell,,Z2,1,Sharpen 2 — climb economy,"Time on feet over terrain — hike the steep stuff, eat every 40 min."
2027-05-30,Easy fell wander,Easy,55,7.3,630,fell,,Z2,1,Sharpen 2 — climb economy,
2027-05-31,Easy aerobic + strength S1,Easy,60,10.3,,road,,Z2,1,Sharpen 3 — bigger sim,Genuinely easy — this is where the engine grows.
2027-06-01,Descent skills + strides,Descent,50,6.7,345,fell,,Z2,1,Sharpen 3 — bigger sim,"EASY effort, fast feet: pick lines, relax the brakes, flow. A skill day, not a hammer day — Saturday's sim is the week's hard work."
2027-06-02,Easy aerobic spin,Bike,50,,,bike,,Z1,1,Sharpen 3 — bigger sim,Engine volume the legs don't pay for.
2027-06-03,Easy,Easy,55,9.4,,road,,Z2,1,Sharpen 3 — bigger sim,
2027-06-04,Rest day,Rest,,,,,,,1,Sharpen 3 — bigger sim,
