date,session,type,duration_min,distance_km,vert_m,surface,structure,zone,phase,block,notes
2027-03-01,Easy aerobic + strength S1,Easy,40,6.9,,road,,Z2,1,Spring 1 — threshold returns,Genuinely easy — this is where the engine grows.
2027-03-02,Threshold 4×8 min,Threshold,75,13.8,,road,WU 15min Z2 | 4x8min Z4 r2m | CD 10min Z2,Z4,1,Spring 1 — threshold returns,"Honest threshold — strong but controlled, ~1h-race effort."
2027-03-03,Easy aerobic spin,Bike,50,,,bike,,Z1,1,Spring 1 — threshold returns,Engine volume the legs don't pay for.
2027-03-04,Easy + 8×10s hill sprints + strength S2,Easy,40,6.8,,road,,Z2,1,Spring 1 — threshold returns,"Sprints: 8-10s MAX effort uphill, walk-back full recovery. Power + tendon stiffness, zero metabolic cost."
2027-03-05,Rest day,Rest,,,,,,,1,Spring 1 — threshold returns,
2027-03-06,Long mountain run,Long,120,15,605,fell,,Z2,1,Spring 1 — threshold returns,"Time on feet over terrain — hike the steep stuff, eat every 40 min."
2027-03-07,Easy fell wander,Easy,55,7.3,440,fell,,Z2,1,Spring 1 — threshold returns,
2027-03-08,Easy aerobic + strength S1,Easy,40,6.9,,road,,Z2,1,Spring 2 — vert rising,Genuinely easy — this is where the engine grows.
2027-03-09,Threshold 5×8 min,Threshold,85,15.6,,road,WU 15min Z2 | 5x8min Z4 r2m | CD 10min Z2,Z4,1,Spring 2 — vert rising,"Honest threshold — strong but controlled, ~1h-race effort."
2027-03-10,Easy aerobic spin,Bike,50,,,bike,,Z1,1,Spring 2 — vert rising,Engine volume the legs don't pay for.
2027-03-11,Easy + strength S2,Easy,35,6,,road,,Z2,1,Spring 2 — vert rising,
2027-03-12,Rest day,Rest,,,,,,,1,Spring 2 — vert rising,
2027-03-13,Long mountain run,Long,125,15.6,715,fell,,Z2,1,Spring 2 — vert rising,"Time on feet over terrain — hike the steep stuff, eat every 40 min."
2027-03-14,Easy fell wander,Easy,55,7.3,520,fell,,Z2,1,Spring 2 — vert rising,
2027-03-15,Easy aerobic + strength S1,Easy,45,7.7,,road,,Z2,1,Spring 3 — to the fells,Genuinely easy — this is where the engine grows.
2027-03-16,Uphill threshold 4×6 min,Threshold,71,9.5,225,fell,WU 15min Z2 | 4x6min Z4 r3m | CD 10min Z2,Z4,1,Spring 3 — to the fells,On a steady climb — jog/walk down between. Climbing economy at race effort.
2027-03-17,Easy aerobic spin,Bike,50,,,bike,,Z1,1,Spring 3 — to the fells,Engine volume the legs don't pay for.
2027-03-18,Easy + strength S2,Easy,45,7.7,,road,,Z2,1,Spring 3 — to the fells,
2027-03-19,Rest day,Rest,,,,,,,1,Spring 3 — to the fells,
2027-03-20,Long mountain run,Long,125,15.6,825,fell,,Z2,1,Spring 3 — to the fells,"Time on feet over terrain — hike the steep stuff, eat every 40 min."
2027-03-21,Easy fell wander,Easy,65,8.7,450,fell,,Z2,1,Spring 3 — to the fells,
2027-03-22,Easy aerobic + strength S1,Easy,50,8.6,,road,,Z2,1,Deload — absorb,Genuinely easy — this is where the engine grows.
2027-03-23,Easy + 6 relaxed strides,Easy,40,6.9,,road,,Z2,1,Deload — absorb,Strides keep the wheels turning while the base builds.
2027-03-24,Easy aerobic spin,Bike,50,,,bike,,Z1,1,Deload — absorb,Engine volume the legs don't pay for.
2027-03-25,Easy,Easy,50,8.5,,road,,Z2,1,Deload — absorb,
2027-03-26,Rest day,Rest,,,,,,,1,Deload — absorb,
2027-03-27,Long rolling run,Long,90,14.7,330,trail,,Z2,1,Deload — absorb,Steady and patient; finish feeling you had more.
2027-03-28,Rest or gentle walk,Rest,,,,,,,1,Deload — absorb,Deload week — recovery IS the training.
2027-03-29,Easy aerobic + strength S1,Easy,50,8.6,,road,,Z2,2,Spring 4 — descents return,Genuinely easy — this is where the engine grows.
2027-03-30,Descent progression + power 1,Descent,55,7.3,240,fell,,Z3,2,Spring 4 — descents return,"Quick feet, eyes ahead, brake less each rep. The free speed nobody trains."
2027-03-31,Easy aerobic spin,Bike,50,,,bike,,Z1,2,Spring 4 — descents return,Engine volume the legs don't pay for.
2027-04-01,Easy,Easy,45,7.7,,road,,Z2,2,Spring 4 — descents return,
2027-04-02,Rest day,Rest,,,,,,,2,Spring 4 — descents return,
